,,AGRICULTURAL PRODUCTION CROPS,AMUSEMENT AND RECREATION SERVICES,APPAREL AND ACCESSORY STORES,APPAREL AND OTHER FINISHED PRODUCTS MADE FROM FABRICS AND SIMILAR MATERIALS,AUTOMOTIVE DEALERS AND GASOLINE SERVICE STATIONS,"AUTOMOTIVE REPAIR, SERVICES, AND PARKING",BUILDING CONSTRUCTION GENERAL CONTRACTORS AND OPERATIVE BUILDERS,BUSINESS SERVICES,BUSINESS SERVICES - Large Cap,BUSINESS SERVICES - Small Cap,CHEMICALS AND ALLIED PRODUCTS,CHEMICALS AND ALLIED PRODUCTS - Large Cap,CHEMICALS AND ALLIED PRODUCTS - Small Cap,COMMUNICATIONS,COMMUNICATIONS - Large Cap,COMMUNICATIONS - Small Cap,CONSTRUCTION SPECIAL TRADE CONTRACTORS,DEPOSITORY INSTITUTIONS,DEPOSITORY INSTITUTIONS - Large Cap,DEPOSITORY INSTITUTIONS - Small Cap,EATING AND DRINKING PLACES,EDUCATIONAL SERVICES,"ELECTRIC, GAS, AND SANITARY SERVICES","ELECTRIC, GAS, AND SANITARY SERVICES - Large Cap","ELECTRIC, GAS, AND SANITARY SERVICES - Small Cap","ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT","ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Large Cap","ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Small Cap","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Large Cap","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Small Cap","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT - Large Cap","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT - Small Cap",FOOD AND KINDRED PRODUCTS,FOOD AND KINDRED PRODUCTS - Large Cap,FOOD AND KINDRED PRODUCTS - Small Cap,FOOD STORES,FURNITURE AND FIXTURES,GENERAL MERCHANDISE STORES,HEALTH SERVICES,HEALTH SERVICES - Large Cap,HEALTH SERVICES - Small Cap,HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION CONTRACTORS,HOLDING AND OTHER INVESTMENT OFFICES,HOLDING AND OTHER INVESTMENT OFFICES - Large Cap,HOLDING AND OTHER INVESTMENT OFFICES - Small Cap,"HOTELS, ROOMING HOUSES, CAMPS, AND OTHER LODGING PLACES",INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Large Cap,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Small Cap,"INSURANCE AGENTS, BROKERS, AND SERVICE",INSURANCE CARRIERS,INSURANCE CARRIERS - Large Cap,INSURANCE CARRIERS - Small Cap,"LUMBER AND WOOD PRODUCTS, EXCEPT FURNITURE","MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS","MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS - Large Cap","MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS - Small Cap",METAL MINING,METAL MINING - Large Cap,METAL MINING - Small Cap,"MINING AND QUARRYING OF NONMETALLIC MINERALS, EXCEPT FUELS",MISCELLANEOUS MANUFACTURING INDUSTRIES,MISCELLANEOUS RETAIL,MISCELLANEOUS RETAIL - Large Cap,MISCELLANEOUS RETAIL - Small Cap,MOTION PICTURES,MOTOR FREIGHT TRANSPORTATION AND WAREHOUSING,NON-DEPOSITORY CREDIT INSTITUTIONS,NON-DEPOSITORY CREDIT INSTITUTIONS - Large Cap,NON-DEPOSITORY CREDIT INSTITUTIONS - Small Cap,NONCLASSIFIABLE ESTABLISHMENTS,NONCLASSIFIABLE ESTABLISHMENTS - Large Cap,NONCLASSIFIABLE ESTABLISHMENTS - Small Cap,OIL AND GAS EXTRACTION,OIL AND GAS EXTRACTION - Large Cap,OIL AND GAS EXTRACTION - Small Cap,PAPER AND ALLIED PRODUCTS,PERSONAL SERVICES,PETROLEUM REFINING AND RELATED INDUSTRIES,PRIMARY METAL INDUSTRIES,"PRINTING, PUBLISHING, AND ALLIED INDUSTRIES",REAL ESTATE,RUBBER AND MISCELLANEOUS PLASTICS PRODUCTS,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES","SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES - Large Cap","SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES - Small Cap","STONE, CLAY, GLASS, AND CONCRETE PRODUCTS",TRANSPORTATION BY AIR,TRANSPORTATION EQUIPMENT,TRANSPORTATION EQUIPMENT - Large Cap,TRANSPORTATION EQUIPMENT - Small Cap,TRANSPORTATION SERVICES,WATER TRANSPORTATION,WATER TRANSPORTATION - Large Cap,WATER TRANSPORTATION - Small Cap,WHOLESALE TRADE-DURABLE GOODS,WHOLESALE TRADE-DURABLE GOODS - Large Cap,WHOLESALE TRADE-DURABLE GOODS - Small Cap,WHOLESALE TRADE-NON-DURABLE GOODS
Beta,Alpha,-0.10322427461467538,-0.09256554762812974,-0.09794437261833583,-0.10171802232350086,-0.09124675912231699,-0.09427999651132572,-0.08994903243651306,-0.09646190454201788,-0.09481257502011302,-0.02428103030439889,-0.10354079037402858,-0.10101687167542038,-0.03148027665762335,-0.10127938705790057,-0.1010408962534016,-0.10284817370392471,-0.08785963736049356,-0.09872845155960086,-0.0984158003761362,-0.10465746057818079,-0.0979376823535852,-0.10531806643518171,-0.1002481649102327,-0.0974082286788941,-0.12491525899145102,-0.09774747382483091,-0.0974328716075506,0.08422021048354252,-0.09884520605402981,-0.09731394373311111,-0.1302451769732336,-0.09823896698310718,-0.09566257639029498,-0.09390611757779296,-0.10375520690267923,-0.10392969988288235,-0.09685896424227838,-0.10763438928782175,-0.09822540659115091,-0.10057415205818548,-0.09769200337846583,-0.09630957045457103,0.01421327519744329,-0.09983533528262217,-0.10073483129114695,-0.0999633759433768,-0.10180639881710672,-0.0941721074370052,-0.09806708509727297,-0.09622320496039667,-0.0035858132481977538,-0.0941208672652957,-0.09900096299051382,-0.09991442267062237,-0.12348799756076816,-0.10202636181405032,-0.09757563465639615,-0.09999634291344768,0.012773938018090713,-0.0998789096234909,-0.09900521481513984,-0.1098128342493243,-0.09815828332905097,-0.10414520714700418,-0.09262318935581981,-0.09152618697948996,-0.09628206354572574,-0.0795062831495487,-0.10180292674180984,-0.08014256694866041,-0.07611567827270953,-0.10143034513393893,-0.09888284457234478,-0.09905619865796671,-0.10030253206994431,-0.09988847538396922,-0.10128031020072557,-0.12701011842614746,-0.10132851380510745,-0.10415428083927172,-0.101239252466603,-0.1005274932254021,-0.09963239354465118,-0.09124055291873567,-0.10194645574329407,-0.09633435319911356,-0.09455051557435007,-0.09944158691385957,-0.0956974179150717,-0.09378247613017565,-0.09578278639682629,-0.09658791808886356,-0.059282978662030465,-0.08938716236913904,-0.09574229070523009,-0.09283565663802958,0.030110902872972318,-0.09985758537884756,-0.09838607346632082,-0.12845363846214128,-0.0940526767093726
Beta,CMA,0.02013204433856058,0.016549457261113204,0.01852376147187424,0.019696399173636515,0.012871327718000545,0.022470015330104297,0.011070279687421228,0.016182909987151196,0.016289810462783078,-0.017548691694343345,0.013160624107203325,0.01446037996336516,0.040339960733183446,0.012183907372249324,0.014000414620914892,0.02649779688254237,0.01757084903099547,0.01455643355155231,0.014465386637478317,0.01565586338091605,0.01698314291020753,0.017127475951907382,0.016239187726573113,0.01524322051077245,0.010573199677794376,0.01975372717765919,0.020194872059718816,-0.06624715554478076,0.017478377085562078,0.017248770288253088,0.020050258499403586,0.018422091992895594,0.017873431790072506,0.006684569828709633,0.01578006855812129,0.01655116996154483,0.013397295488700101,0.02158785213917492,0.013049037175189496,0.017353134388833156,0.015857653582808117,0.018201286650918604,0.06345470703035218,0.016309563018794198,0.01729385732800123,0.017849418365930455,0.011801679898101521,0.013724268993162293,0.015601897724162475,0.015864212157834966,-0.11998017270531446,0.019236061681515215,0.015099301785049337,0.015898970859045392,0.013268368749102288,0.01855250488223725,0.013970365970113682,0.016493657460929675,-0.07089594260932248,0.01792232684878464,0.017882537670025445,0.021204110571264128,0.01708178601463179,0.017680118383601638,0.019747473497878823,0.02025862717525507,0.015126006117117384,0.018541493305243534,0.013798658331537747,-0.003906250052845653,-0.005665002747066534,0.0043017419227377104,0.016879736493844073,0.01685844609039596,0.0167927011266671,0.013769855272125424,0.013307569598204557,0.014361945372792069,0.015201966605682656,0.0163824560812567,0.017567912549318346,0.024588335158879635,0.016820179728658333,0.011576446538263762,0.014337770071056327,0.015260125112500285,0.01575381964245629,-0.013829893616166255,0.015602766303997338,0.019938631646384465,0.018736897577891817,0.019252974061802156,0.01387055948446613,0.013081300046706257,0.01813624608185411,0.018208950036121153,0.06324157531337471,0.018091935374738875,0.018176197896554485,0.019728621929906317,0.013110284404487851
Beta,HML,-0.007975406217514932,-0.005834488626908723,-0.0045621053847183035,-0.0064086058909121725,-0.005485653483250929,-0.010467710007434261,-0.0026477287839024905,-0.007886218456300616,-0.00789222899231978,0.015511749037026056,-0.0060001833950807035,-0.00596964976608286,-0.021971093034647858,-0.0052961563033013,-0.006244899962133667,-0.007697928839489214,-0.008240092609205014,-0.004070266649781216,-0.004023019494275592,-0.004477313441327104,-0.007664143167208734,-0.0057585286201670225,-0.006250237693138913,-0.005805977661732923,-0.00435760169734104,-0.010009378762662424,-0.010277714024990196,0.018596466106888646,-0.006358131667728756,-0.005863117103210553,-0.007248723023290771,-0.007088941544382477,-0.0070175488238811935,-0.00409840713058218,-0.006286863767210881,-0.006544789302723065,0.00211135846679008,-0.007136434468861908,-0.004304452861014528,-0.005569116893760247,-0.005780312206258113,-0.006580483358135017,-0.04048960601147133,-0.006624169109968329,-0.00740070086540956,-0.007594272896214587,-0.0081745885327679,-0.0034584073290728733,-0.005001649313246266,-0.004652692230027666,0.033351378057180865,-0.006481788345128013,-0.005996913018667937,-0.006561315882422922,-0.002362539612963701,-0.00488070090072741,-0.00472428991134484,-0.006706271075211079,0.02167511118965969,-0.008666644729938097,-0.008668472041786472,-0.012946542855713967,-0.006090065281348646,-0.007652650135109208,-0.007909873838244428,-0.008154952711557808,-0.005926469873250039,-0.013857774803679505,-0.005514976251499687,0.001085505205258088,0.002247714412007982,-0.0024781351989124132,-0.006002362822517602,-0.006104787702579092,-0.006809292009951817,-0.006809146860996135,-0.006153495753218608,-0.0068144642416329525,-0.004833431246454825,-0.007756916179339821,-0.0058045652630253795,-0.00905719665626045,-0.0062414523626271555,-0.0022723270519168287,-0.006988139920103314,-0.0059511791641045746,-0.006135518581207955,0.004704134194896301,-0.004585488614941107,-0.00398636620399624,-0.006072558860395158,-0.006171905036796634,0.02705462615575077,-0.00574366679270045,-0.0061613579638428485,-0.004629595510644455,-0.054549521815189995,-0.006972554753000063,-0.006999120605453013,-0.002206566187546189,-0.006573318892633206
Beta,Mkt-RF,-2.6108785532256624e-05,-0.0010167009201321922,0.0007261958167223149,0.000988235838077862,0.0014087893439463659,0.00039033829108878025,0.0005583203269586369,0.0011006750665054313,0.0012252574619872564,0.0053899886624401965,0.0009066238466535635,0.0009915439796827977,0.005869940492924793,-0.00014985515933409275,0.0005030146150812585,0.005528854283311602,0.0002719300127671972,0.0010804367460688705,0.0010587135250924788,1.1566669086610582e-05,0.00019201709807321605,-0.00018613881614870856,7.379925493148285e-05,5.6117804555611835e-05,-0.003239344034457143,0.003884478205763578,0.004094835586619455,0.011630880605386154,0.0013222412259884413,0.0013832987051937739,0.0005030432014524512,0.0012296362305903254,0.0011574344202827035,0.003284917133142186,0.00015377316431590136,0.00038793483692397537,0.0014188368140640062,0.001575434780901688,0.00031521296464529815,0.0017639886139313972,0.0011762230349160706,0.0010388576326275025,-0.020849830521031485,0.0009837493714671597,-0.00010536962329669137,-6.071134584630126e-05,0.0021557467646391728,0.0005814304330855792,0.001507290793217311,0.0015299999926650077,0.01784671720753706,9.734034699053625e-05,0.0011424021048193928,0.0021102541188662274,-0.0023562040865480077,0.0019441576384544186,0.0010353299293105814,0.0009163026743805658,0.003936749286237413,0.002547197163398031,0.002480520425152106,0.0030548632921050035,0.0001652500352008477,0.0009829157524580238,0.0005116155662412042,0.0005173355990842831,0.003657683359110188,0.004212068728228693,0.00110714211006873,-0.0016923176620225694,-0.002144252151048373,-0.004937357530421959,0.0008481211323122998,0.0008528082139627584,0.00040446255848878686,0.0008202924932985511,0.0006144019520049834,0.003460057167648152,0.0005951309684681498,-0.0002485526166937788,0.00021022068918099445,0.002278146972985319,0.0010700423748216455,0.0005247193400706331,0.0007751235422481139,0.0010212745851157768,0.0012962710304843222,-0.0016283745217095958,0.0008117915288880028,-0.000417077755019773,0.0023021368980530705,0.002406587936712058,-0.00321017374227666,0.00041857128343838687,-0.0004912336970634544,-0.0011125248629413392,0.0662865531178709,0.0012759630101518197,0.0012423786930640913,0.001241157466101217,0.000552142854237502
Beta,RMW,0.0027844947029689792,-0.0021140631116124023,0.0018877068350373913,0.003326055831723802,0.00378496292051742,0.011684661680275732,0.0008059281498648585,0.0029136223905550825,0.00361076523687006,-0.005212337834287927,0.004578689890259302,0.004645466065104165,-0.0377557187597994,0.001281056089719292,0.0021581470030284772,0.015208547926702684,0.004496524921223502,0.002140673262270616,0.002011411054850484,0.0012769949480413135,0.004802500638700191,0.004471788611519863,0.002376884185958149,0.0018560601235671468,0.004114709942162929,0.003084047207799526,0.0036115245206511043,-0.09140703004011844,0.004591453510756914,0.005232713716064834,0.011548770941091982,0.0017612656776826586,0.0013367874534312386,-0.016883289399874712,0.004126661354833579,0.004943677527208944,-0.022025576881769385,0.007412892604570407,0.0016331748894845074,0.005731320248572323,0.00039654944009470634,-0.00025558091524672134,-0.0391072561579226,0.0018251741719138139,0.002485857935909489,0.0030397806428667097,-0.003253466045227249,0.00122307678158345,0.002838442840432014,0.0031812884671362945,0.055278421624116905,0.007035391347193689,0.0025095129181110284,0.0030429678308353464,0.008665740966056918,0.0002660122640911138,0.004878439331080803,0.003029935073791826,0.023730043674373216,-0.002344047283419598,-0.002454809970827643,-0.002056366526721734,0.00353216440235642,0.00528697774912484,-0.0006295962787324042,-0.000505487433004055,-0.0010905380978714699,0.0016427025822772097,0.006389891614585773,0.015175150254554438,0.01647291004895688,0.0040118107806674,0.0021445923720936717,0.0021921816300474514,0.002408543070270037,0.0030117458755372045,0.0029097870877807567,0.013740395327214211,0.0022427842734032977,0.006210937225640955,0.0063717658751854525,-0.00036450031823972214,-9.1646099318296e-05,-0.005882876702043616,0.003265063825438026,-0.0007595689226197616,1.1303532538602752e-05,-0.007686760523618216,0.0009788266358483125,-0.0010398592196893144,0.0008786184137866707,0.0009084628989587607,-0.02705751155348854,0.0013448721126192399,-0.0005251483921804106,-0.00031074518717802934,0.012593531365587982,0.003559887555968598,0.004106497714072468,-0.00615984262613315,0.0006157073744601307
Beta,SMB,0.008852824488563716,0.009089374638878916,0.009166871851389063,0.010239434349982503,0.00683930652539149,0.015272189129809847,0.0058005019837232,0.010090127421657791,0.009903695768113011,-0.020017955226206557,0.009795171169849919,0.009406573887192635,-0.0003644708475498819,0.009070462567584653,0.009216178370223874,0.00510554721956604,0.008817849423513952,0.008534379074433763,0.008560456646103965,0.00777405929948972,0.009181040477300298,0.00833687728972836,0.00818452438249179,0.007466393051906805,0.025465877305168135,0.008764894855022947,0.008890162597637174,0.010771855782745764,0.008644227465848779,0.008690566906201482,0.013799291552766692,0.008142779937226632,0.008161001360912036,-0.010441708539209515,0.00883686218962138,0.00867215222044895,0.0037638858434292837,0.006721267792151325,0.010220573553755755,0.008626164298648379,0.005741241926752443,0.005358123674451425,0.026850095224438722,0.00901057442599719,0.008384065615668521,0.00829392157855633,0.010533920820370692,0.006445659688334959,0.007791350616722819,0.007418142710621796,0.0024477877197106135,0.009982244375497553,0.007265101080286741,0.006887469062639242,0.01246171831516078,0.0076234464150492206,0.009546748732157384,0.008439206728382833,0.02304296441765941,0.00966705783404373,0.009613963239593404,0.012843515822398047,0.010851752042279802,0.01029739594515631,0.008315929854366556,0.00846895807735338,0.006885971529672911,0.008789043661951238,0.010109998868111683,0.01433847652424813,0.014782115986809393,0.014636900502204911,0.007283533753104813,0.007429502616719736,0.010190999054412881,0.009522414310811557,0.008729985616258087,0.00847915973132051,0.008527072412926334,0.010036849228759291,0.009002601063595302,0.007677399415829043,0.006582018612066405,0.006036472183402773,0.00920128494816747,0.008329564780502167,0.00848417573837609,0.010749647824507824,0.00611923070336651,0.008454461004718925,0.008992638814643126,0.00911009680901746,-0.03315394927720529,0.010750591052635525,0.00984288577322675,0.010139426056213532,0.12095750588587162,0.007704074461990406,0.007980459858684303,0.009248049326371702,0.008275529494421893
Pvalue,Alpha,1.1598031388245997e-15,1.908030982732303e-09,1.47055939076722e-15,4.343239213372042e-15,1.433073906352944e-13,2.957406833003386e-09,1.512933404376041e-11,3.241345115278839e-16,6.116499795519601e-16,0.6744431773474404,4.513051932433767e-18,2.1378393322058898e-17,0.48928816974559564,7.929596472357126e-17,1.954256266317112e-17,6.221465632272887e-12,2.1761809108066862e-13,5.520706975947935e-15,6.8210414244921154e-15,4.228913750029696e-18,5.816099072687467e-16,1.0029221345849778e-16,9.583565122098443e-18,2.2039418266064066e-16,4.775491527496101e-12,5.589268942231886e-14,1.004472607921951e-13,0.44179566244570756,3.5291630684389294e-16,8.167122918126018e-16,6.5633795947443584e-15,4.971928990329321e-16,4.4149284491671534e-15,5.5535722967410615e-06,4.28509147197947e-18,3.145180611966913e-18,0.0037639252321367673,8.016419572821739e-19,1.5262845954916593e-12,3.944036762970642e-17,1.7454408021797397e-15,2.239898955795929e-15,0.8570643191514389,2.5616639549316165e-14,6.378426604909269e-16,5.397495133331775e-16,2.64344692462252e-07,1.0515787061631052e-12,1.0449832740002575e-15,2.883153143365174e-15,0.9689087606759668,4.39829749242476e-15,5.472581210364519e-15,7.993245275929767e-15,5.839645456762423e-18,1.0609528758268108e-14,1.871575518152618e-15,3.1377219021258666e-17,0.7949027861346724,5.111080400690461e-14,8.722593851705899e-14,8.092709585989533e-15,1.3386251987886115e-15,4.717497420781249e-16,1.0457965478679988e-12,2.079835760077521e-12,1.5232017378241377e-08,2.2741932779605207e-07,3.8142655491325636e-16,0.0025732311031470513,0.008668763003821248,2.2504851843124803e-09,9.385760336949926e-17,8.989991792004816e-17,4.652045978244769e-17,8.419727487666014e-12,1.9397800184210287e-12,1.936868114962467e-12,1.0318885860462367e-16,2.8221676536653053e-16,9.310794240340903e-16,3.9463579991509476e-13,3.279743547594619e-15,1.4775134275272652e-11,3.3148616000098853e-15,4.577417561242521e-15,1.1545168714289451e-14,2.1412167409375328e-07,1.3603154226419796e-13,9.874249232856951e-13,3.6324498125163544e-12,3.208870848528279e-12,0.12005261538289454,2.416596360315987e-12,9.246678197264404e-13,1.3004457867999203e-11,0.8404071086186073,1.8626747180283876e-16,4.880000873288405e-16,2.493599113066112e-14,1.122504192282286e-15
Pvalue,CMA,0.00676181298220847,0.0708310069362316,0.008877600202908396,0.008622293064494262,0.07252410850344887,0.017771228739331894,0.15687418050631238,0.016980566371446418,0.015632219517148188,0.6235846399448295,0.051814110445859575,0.03279794965023323,0.15278256351593844,0.0786320748325643,0.03846719592303464,0.0026923920492129896,0.01190915901514315,0.04570473029870097,0.04723228763504168,0.022193467964302414,0.01461950168841891,0.01822280244646813,0.014578824908734741,0.024878355102377844,0.31658434930802737,0.009035259151199869,0.008150158839287732,0.3282169533431112,0.012055010647128247,0.01312667325461078,0.037644357073078095,0.008183762656313527,0.011240666525260002,0.5920943002956155,0.020111013654529126,0.014532029797388211,0.5130298994577372,0.0017570745472223063,0.1074714244739158,0.011040081299640517,0.024840540481151786,0.009448484049421075,0.1944834156822573,0.03165771999443271,0.015787840152493425,0.011856721931670696,0.31976771741571514,0.07522706726164048,0.026430451220192646,0.023931642772693846,0.03596418211805245,0.005620483940682656,0.0387749360190238,0.03234559088551405,0.10112696661458613,0.015152131044515476,0.04777714217459954,0.014682501838495558,0.020468019369765035,0.02000929496140187,0.020516978478242003,0.00960584199203269,0.015744282822726472,0.01640764897672483,0.009545237245967208,0.008063071606834407,0.13615012063125762,0.044865971256616524,0.05387918316527865,0.8102178090535672,0.7501643350847856,0.6686232911065826,0.013160734923027441,0.013368570559005907,0.013873723747913918,0.10811603473965842,0.1132471777305184,0.1725381055341837,0.029312645153944647,0.024754391640852833,0.015374204916637728,0.0024673024689314403,0.02109282047189216,0.14427893985522053,0.05426998572489112,0.03135219728777659,0.026122190518352822,0.22908207378409223,0.03797050804409977,0.009655765708537961,0.02050911989488685,0.01793999620089286,0.5555311435103316,0.07940607857412882,0.020731594945191896,0.024074548819327593,0.49434119267026544,0.009341832718386855,0.009142848670369979,0.04313297515300711,0.05175848620539081
Pvalue,HML,0.08491267600921425,0.3076957940835455,0.2999249963671763,0.16962393978644538,0.22054497395979183,0.07687208046934489,0.5878480216651742,0.0624395890892293,0.06064871376077946,0.4884687667103347,0.15582865587589673,0.15797209226849343,0.21326804584874862,0.22115352946586855,0.13927906743707402,0.1602080242418877,0.0587449406766985,0.3703167981530805,0.37625476356897447,0.2937422462870221,0.07737819540865665,0.20264529345186055,0.13144478687031905,0.17067824988575958,0.509406396085343,0.0340896461366408,0.031010829901962557,0.6608035787098775,0.14262245871152252,0.17582294296278903,0.22837039552074015,0.10227907749476478,0.11018725786962191,0.5997570397087969,0.13758567883787112,0.12108124375952005,0.8691439698817729,0.09571438825188104,0.39529414420382214,0.19010370506177862,0.18961614814611208,0.13183199669397963,0.1860697018792984,0.16197119287581935,0.09769972893711236,0.08595396373798339,0.2711025905200057,0.4725153760158657,0.253586024897086,0.28779279992953183,0.3496804157463993,0.13355880484292523,0.1884898242643405,0.15702408432499457,0.6400232832786341,0.30462649272672254,0.28338987402406435,0.11153469272241666,0.2553677994245546,0.07162756326178632,0.07210013130881995,0.011514366382651837,0.1670626730277101,0.0958886440523757,0.09567000093409683,0.08690123185372857,0.3501984497509173,0.016853643218846654,0.21720460527203775,0.915104089193874,0.8400532993936711,0.6936609880554484,0.15696518197210804,0.15045913442391293,0.10950781995834631,0.203873392067661,0.24143797286090152,0.3007435587198774,0.26636748937661925,0.08866276349528708,0.19860459537626282,0.07280630771927034,0.16985460256529256,0.6463496729110976,0.1333439287652069,0.1784721581786461,0.16488234318375505,0.5129374723257752,0.328023376086678,0.40514629087812926,0.2281633104054418,0.2232298042779657,0.06724434280267776,0.21773304613837427,0.20739204579527212,0.3571196029196768,0.3466297971741661,0.10779270092132602,0.10708058998260132,0.7165749759392106,0.11867409990224267
Pvalue,Mkt-RF,0.9922809223285654,0.7609999597481479,0.7776615461143191,0.7167887046982304,0.5902087649598725,0.9098870232837173,0.8450857426776601,0.6554403236794266,0.6172323604659864,0.6806413811896813,0.7133467980704533,0.6878863175503638,0.5692247321022805,0.9527320898362701,0.8382956197190812,0.08507505303156719,0.9147339407663253,0.6841707031739837,0.6904125273340918,0.9962960017758764,0.9394884351153578,0.9437742691533766,0.9756478287020169,0.9819018258081578,0.4020157897151996,0.15859218012050047,0.14068772912018804,0.639019162603744,0.601460803843413,0.5844389444854036,0.8861903698118689,0.6270834143489747,0.651571557386091,0.4723377036481823,0.9503712982843782,0.8748440401508184,0.8499158162701671,0.5284178105389692,0.9151946029505,0.47745673395976307,0.6476338907759117,0.6835331072807165,0.24427298425090835,0.7220186964576203,0.9677461613638731,0.9812144067636794,0.6194485997493049,0.8363596665310482,0.5560322600423728,0.5498294107106676,0.3922662014286693,0.9691996813209698,0.6679345448778737,0.4358357891170579,0.4255633615133,0.48429908902048757,0.6874635144295265,0.7093676127913113,0.7236454569155875,0.3640803266692524,0.37764618063590405,0.3050854375565361,0.9487884101849301,0.7138340416598059,0.8533749586059761,0.8522281224413815,0.32444096571205006,0.21210155952313173,0.6714898324823976,0.7763783001090652,0.742110402896283,0.1806581426247012,0.7319022776805257,0.7307450992248739,0.8705360488823939,0.7932348174239865,0.8413005651515479,0.36898080907020414,0.8147957236243359,0.9254534824166649,0.9364482084395616,0.4390936576092054,0.686898023143707,0.8562594350053603,0.7753979221966746,0.692521109485887,0.6152891108273082,0.6985809119463375,0.7670196763503183,0.8815620683320795,0.4344102084684922,0.41647298506507124,0.7094606971659201,0.8777626197239096,0.8633343923784268,0.7050173077163893,0.05142264864436089,0.613960350186971,0.6239259683963704,0.7270627533218819,0.8222402526243481
