,industry_name,key,num_firms,total_market_cap,gvkeys,marketcap_id
38,Construction,18,20,5047730937.46,"[6669.0, 25340.0, 64997.0, 66446.0, 8823.0, 2497.0, 6223.0, 4115.0, 12459.0, 12395.0, 4818.0, 21429.0, 12689.0, 14790.0, 12615.0, 8486.0, 5750.0, 29755.0, 148223.0, 23195.0]",all
41,Construction Materials,17,22,1990883191.94,"[8358.0, 2771.0, 8214.0, 11456.0, 2820.0, 30260.0, 7085.0, 9778.0, 119316.0, 6821.0, 30032.0, 3580.0, 175689.0, 12445.0, 29156.0, 11094.0, 166482.0, 5987.0, 12379.0, 133367.0, 64254.0, 1686.0]",all
44,Consumer Goods,9,21,3543948190.2999997,"[8762.0, 3170.0, 4213.0, 61567.0, 3026.0, 3121.0, 156861.0, 6649.0, 30312.0, 11465.0, 12389.0, 7875.0, 6543.0, 14309.0, 5572.0, 10056.0, 23252.0, 28118.0, 64028.0, 7951.0, 122211.0]",all
50,Electrical Equipment,22,15,1649911029.1499999,"[4199.0, 9203.0, 5764.0, 9016.0, 146017.0, 25747.0, 8699.0, 160893.0, 24795.0, 1823.0, 4881.0, 25430.0, 166368.0, 6527.0, 61153.0]",all
53,Electronic Equipment,36,63,75677575815.67,"[117768.0, 1690.0, 1161.0, 7343.0, 6008.0, 1632.0, 137310.0, 24800.0, 10499.0, 14282.0, 112158.0, 7585.0, 175404.0, 160888.0, 64356.0, 7985.0, 177267.0, 134932.0, 5492.0, 3532.0, 27965.0, 30170.0, 28195.0, 175982.0, 141459.0, 126721.0, 1327.0, 16597.0, 64853.0, 110039.0, 9599.0, 139804.0, 25274.0, 27794.0, 28139.0, 10008.0, 16401.0, 61562.0, 61356.0, 29241.0, 66032.0, 133288.0, 66393.0, 11191.0, 21238.0, 3969.0, 28940.0, 12945.0, 175955.0, 142814.0, 30576.0, 23084.0, 13200.0, 9216.0, 2577.0, 154039.0, 31843.0, 66686.0, 7291.0, 21743.0, 8348.0, 65590.0, 3358.0]",all
54,Electronic Equipment - Large Cap,36,12,69376694727.89,"[117768.0, 1690.0, 1161.0, 7343.0, 6008.0, 1632.0, 137310.0, 24800.0, 10499.0, 14282.0, 112158.0, 7585.0]",large_cap
55,Electronic Equipment - Small Cap,36,12,77225486.53999999,"[23084.0, 13200.0, 9216.0, 2577.0, 154039.0, 31843.0, 66686.0, 7291.0, 21743.0, 8348.0, 65590.0, 3358.0]",small_cap
56,Entertainment,7,13,4361429881.11,"[147579.0, 149318.0, 161844.0, 165746.0, 14418.0, 125240.0, 177108.0, 3028.0, 64344.0, 13710.0, 30259.0, 28378.0, 7022.0]",all
60,Food Products,2,25,3570075957.6,"[142953.0, 5568.0, 6375.0, 5071.0, 5597.0, 10793.0, 9777.0, 2663.0, 7146.0, 5709.0, 3362.0, 1722.0, 144435.0, 66016.0, 30651.0, 4809.0, 12785.0, 12825.0, 163983.0, 6573.0, 158743.0, 10609.0, 12761.0, 29517.0, 29609.0]",all
63,Healthcare,11,14,1729027538.74,"[7241.0, 64166.0, 11032.0, 14960.0, 7750.0, 61483.0, 12589.0, 2960.0, 164652.0, 61325.0, 23714.0, 7741.0, 5539.0, 25318.0]",all
66,Insurance,45,64,10880346092.039999,"[10903.0, 13341.0, 2547.0, 7065.0, 145046.0, 28034.0, 27914.0, 3221.0, 28349.0, 4973.0, 14822.0, 1487.0, 62689.0, 1449.0, 15417.0, 145552.0, 152149.0, 144009.0, 61739.0, 133768.0, 143356.0, 61302.0, 61406.0, 61388.0, 14828.0, 6781.0, 12726.0, 12909.0, 153130.0, 28216.0, 14824.0, 124042.0, 10614.0, 165264.0, 157057.0, 6742.0, 61408.0, 24379.0, 8431.0, 61380.0, 13342.0, 21503.0, 11729.0, 133289.0, 157955.0, 17115.0, 25895.0, 158354.0, 12603.0, 2558.0, 24225.0, 10086.0, 17035.0, 176591.0, 24678.0, 24440.0, 148469.0, 17252.0, 157353.0, 164572.0, 16428.0, 13561.0, 174389.0, 176973.0]",all
67,Insurance - Large Cap,45,12,6903485842.23,"[10903.0, 13341.0, 2547.0, 7065.0, 145046.0, 28034.0, 27914.0, 3221.0, 28349.0, 4973.0, 14822.0, 1487.0]",large_cap
68,Insurance - Small Cap,45,12,69620973.94,"[17035.0, 176591.0, 24678.0, 24440.0, 148469.0, 17252.0, 157353.0, 164572.0, 16428.0, 13561.0, 174389.0, 176973.0]",small_cap
69,Machinery,21,51,9272494467.33,"[1704.0, 6565.0, 2817.0, 3835.0, 5959.0, 6268.0, 3650.0, 5878.0, 122380.0, 4058.0, 13570.0, 7486.0, 30098.0, 5860.0, 137573.0, 8463.0, 15267.0, 10016.0, 10618.0, 7921.0, 2444.0, 25180.0, 4108.0, 21542.0, 10581.0, 5252.0, 63892.0, 164557.0, 5087.0, 6737.0, 25922.0, 137602.0, 65009.0, 27960.0, 7991.0, 6509.0, 14954.0, 6386.0, 1706.0, 11124.0, 10441.0, 142956.0, 142260.0, 12262.0, 65671.0, 28295.0, 14898.0, 62221.0, 5237.0, 6994.0, 4497.0]",all
70,Machinery - Large Cap,21,10,6855742142.309999,"[1704.0, 6565.0, 2817.0, 3835.0, 5959.0, 6268.0, 3650.0, 5878.0, 122380.0, 4058.0]",large_cap
71,Machinery - Small Cap,21,10,42723676.77,"[142956.0, 142260.0, 12262.0, 65671.0, 28295.0, 14898.0, 62221.0, 5237.0, 6994.0, 4497.0]",small_cap
72,Measuring and Control Equipment,37,24,6193036702.65,"[10530.0, 3735.0, 6304.0, 14561.0, 10453.0, 4321.0, 126554.0, 1598.0, 138205.0, 61574.0, 65772.0, 119275.0, 138483.0, 4145.0, 126423.0, 22815.0, 29133.0, 23224.0, 16188.0, 63186.0, 1968.0, 2220.0, 148390.0, 3158.0]",all
75,Medical Equipment,12,32,6678084935.66,"[1078.0, 136725.0, 7228.0, 10115.0, 25279.0, 2111.0, 162887.0, 31887.0, 3504.0, 177227.0, 144559.0, 141384.0, 133366.0, 25313.0, 2086.0, 20904.0, 177881.0, 65607.0, 10407.0, 24021.0, 7420.0, 21777.0, 27810.0, 13700.0, 140073.0, 25110.0, 13623.0, 27823.0, 61181.0, 264387.0, 28380.0, 176670.0]",all
81,Personal Services,33,17,952960822.45,"[3062.0, 3278.0, 2269.0, 9611.0, 178976.0, 65275.0, 3905.0, 9299.0, 5600.0, 66379.0, 11300.0, 24350.0, 63338.0, 109919.0, 178797.0, 1393.0, 145308.0]",all
84,Petroleum and Natural Gas,30,42,8972329686.5,"[4503.0, 2991.0, 8549.0, 27786.0, 15247.0, 9465.0, 16478.0, 4430.0, 14934.0, 8068.0, 29453.0, 5439.0, 15055.0, 1678.0, 20548.0, 11781.0, 15070.0, 112876.0, 28338.0, 5667.0, 7620.0, 6788.0, 120093.0, 142337.0, 29135.0, 26013.0, 29108.0, 5581.0, 166563.0, 5903.0, 178672.0, 1661.0, 8079.0, 8850.0, 21237.0, 165846.0, 65006.0, 8901.0, 61759.0, 160341.0, 20695.0, 164046.0]",all
87,Pharmaceutical Products,13,43,14119200404.429,"[6730.0, 6266.0, 7257.0, 8530.0, 1602.0, 23812.0, 24856.0, 24197.0, 2403.0, 24344.0, 264265.0, 24468.0, 29127.0, 121440.0, 151630.0, 24040.0, 122257.0, 133885.0, 62921.0, 15414.0, 24782.0, 7637.0, 29955.0, 24302.0, 25937.0, 162335.0, 30137.0, 16453.0, 133468.0, 141846.0, 14269.0, 7526.0, 61655.0, 160668.0, 160340.0, 61399.0, 176022.0, 63405.0, 63863.0, 133868.0, 133871.0, 12915.0, 62169.0]",all
