,sicdescription,sic_level,num_firms,total_market_cap,gvkeys,marketcap_id
29,CHEMICALS AND ALLIED PRODUCTS,2800,723,47191247952.5934,"[6730, 8530, 16101, 25124, 6266, 3170, 8762, 24856, 7257, 2403, 37851, 264265, 1602, 36473, 41897, 74797, 24344, 24197, 136186, 3026, 9667, 1209, 23812, 13721, 34410, 294524, 29751, 4213, 112759, 45722, 34102, 61567, 24468, 4060, 121440, 34443, 4510, 8247, 3121, 38474, 29127, 27907, 16848, 29392, 162129, 28113, 62921, 27155, 24040, 12181, 122257, 27716, 6078, 163946, 35264, 158563, 8902, 39791, 39991, 36474, 36083, 26359, 21032, 160684, 15414, 35727, 7637, 39190, 33955, 162254, 16582, 32348, 20645, 61711, 64857, 22410, 33133, 45458, 26385, 4462, 11012, 21601, 151630, 22134, 35714, 133885, 13971, 162892, 32356, 20898, 40108, 36288, 33810, 37187, 25937, 28806, 177287, 21004, 315318, 26349, 36911, 35982, 24782, 36600, 24302, 35267, 43858, 39344, 285085, 63005, 23358, 5608, 36028, 27670, 174134, 38821, 22387, 41768, 146616, 20185, 30137, 186159, 26340, 8123, 271357, 33445, 39774, 20649, 33723, 175008, 19149, 2593, 38782, 41916, 37664, 140982, 29837, 41622, 43106, 35255, 45388, 17653, 162401, 34241, 38076, 37082, 35640, 22035, 43091, 117829, 36949, 35279, 35136, 41615, 1794, 40610, 7526, 141846, 21744, 22741, 179598, 18159, 1979, 30311, 21015, 36819, 176022, 18204, 61655, 4926, 36276, 35375, 187550, 38763, 18888, 18315, 38857, 162335, 38687, 16453, 20096, 39063, 37105, 183945, 50526, 11234, 29955, 34077, 33719, 18947, 38467, 12151, 64334, 35054, 37240, 38027, 36767, 37925, 37513, 180057, 178157, 14309, 39402, 175966, 36847, 32775, 253527, 26874, 35728, 25870, 12713, 160340, 14269, 176636, 34118, 18162, 33660, 37495, 141496, 35429, 33447, 50517, 185836, 37527, 18938, 51869, 28194, 26081, 179834, 37350, 33657, 24599, 35664, 31061, 39175, 20115, 347007, 32919, 37675, 194255, 36264, 26895, 133468, 39057, 10056, 40470, 20659, 35647, 43287, 181269, 22590, 19859, 37013, 110566, 35729, 43229, 27119, 160668, 45412, 39189, 33743, 37035, 36768, 37412, 33500, 183593, 63863, 38957, 166447, 17651, 43385, 36677, 284719, 38711, 17199, 36328, 38635, 31249, 26112, 182309, 23339, 29251, 23555, 19205, 32715, 164363, 28347, 36204, 321134, 37364, 50516, 37848, 38661, 26162, 184256, 32901, 28070, 23980, 190856, 186437, 177367, 19717, 39204, 61399, 35254, 32908, 39417, 38223, 349994, 63405, 31059, 34616, 38664, 43837, 39677, 26146, 22449, 37633, 36700, 32285, 35376, 20233, 45711, 50681, 37386, 35638, 74570, 39525, 31177, 37844, 34578, 39266, 45769, 16745, 24996, 166435, 31301, 32271, 38987, 137642, 38121, 346027, 106233, 43861, 163113, 39269, 35712, 36536, 32894, 32861, 64028, 6528, 1864, 34945, 37081, 20502, 16269, 62475, 35958, 20420, 37707, 39198, 254096, 12818, 38874, 21020, 31796, 50763, 37351, 180683, 61519, 41225, 36828, 23627, 25904, 34263, 65376, 359645, 33997, 37803, 33595, 20018, 37325, 27338, 39290, 31542, 248780, 38790, 150221, 133871, 34929, 36356, 43843, 22460, 39477, 35430, 35649, 162453, 31112, 37534, 38333, 21524, 185289, 170945, 39683, 39899, 20473, 37292, 36987, 50567, 30449, 18562, 34161, 13786, 38867, 26149, 36642, 129466, 35091, 170730, 35100, 186139, 37288, 42984, 36052, 220211, 38625, 12915, 32846, 33665, 36044, 45447, 26873, 133868, 26341, 155387, 253355, 179841, 18658, 39693, 27372, 38496, 41538, 39291, 34562, 160809, 21841, 66697, 39941, 32254, 176992, 254381, 32525, 26528, 12252, 7799, 34883, 1585, 34065, 62592, 32941, 38529, 19154, 177764, 39544, 144887, 39872, 45804, 34214, 38386, 39869, 38705, 12711, 157354, 18930, 33634, 38535, 34078, 187368, 157865, 45151, 39028, 36464, 36609, 40321, 74388, 43860, 100336, 39271, 38617, 62169, 21012, 41878, 36530, 20307, 196269, 39951, 39839, 24177, 330826, 40511, 32749, 39527, 45685, 25027, 331856, 39399, 37135, 126122, 39620, 43792, 43455, 36475, 143909, 278308, 287462, 36301, 156578, 21807, 25648, 34942, 39806, 41132, 38910, 34353, 33466, 43928, 164720, 138781, 26817, 175505, 28209, 39740, 21577, 38986, 22817, 32897, 39649, 36402, 187551, 37084, 35090, 43186, 4632, 32640, 240066, 40363, 36632, 38082, 22358, 43551, 38441, 19988, 26809, 38745, 20225, 42893, 112968, 21522, 182902, 39097, 74422, 39642, 42220, 39216, 185659, 29914, 41684, 35321, 41616, 39359, 22116, 38920, 28365, 17175, 101350, 18878, 36558, 34570, 32193, 41766, 34928, 35416, 178118, 183486, 106261, 39411, 31418, 163595, 50724, 34504, 31628, 126010, 43758, 39051, 37036, 36599, 38025, 178291, 12717, 37825, 34566, 178097, 160997, 41176, 31102, 33114, 24598, 26922, 25999, 34181, 20040, 27354, 19209, 170450, 43842, 13484, 34164, 43574, 332115, 185908, 33631, 289153, 39755, 36786, 21282, 41238, 41309, 38139, 21967, 38173, 39633, 31942, 101204, 287111, 37310, 38453, 18172, 322154, 38791, 27939, 10761, 26669, 35102, 186974, 45390, 18173, 39853, 62525, 39104, 36985, 37807, 237269, 32674, 37541, 14063, 27699, 38883, 22138, 37938, 65944, 50682, 37352, 21901, 26798, 37063, 39342, 38511, 2990, 21873, 39926, 39912, 39089, 43386, 179163, 183968, 38422, 24966, 50874, 45157, 166491, 281772, 36704, 38840, 23334, 171187, 36140, 34469, 37640, 165266, 32395, 32233, 16947, 39881, 38783, 39863, 33240, 36394, 39879, 33184, 20720, 170430, 35814, 26356, 34107, 32347, 33597, 220301, 37110, 32018, 35014, 38469, 32731, 19549, 38400, 34621, 25935, 3691, 65937, 39801, 43442, 31656, 19138]",all
30,CHEMICALS AND ALLIED PRODUCTS - Large Cap,2800,144,43595715233.96,"[6730, 8530, 16101, 25124, 6266, 3170, 8762, 24856, 7257, 2403, 37851, 264265, 1602, 36473, 41897, 74797, 24344, 24197, 136186, 3026, 9667, 1209, 23812, 13721, 34410, 294524, 29751, 4213, 112759, 45722, 34102, 61567, 24468, 4060, 121440, 34443, 4510, 8247, 3121, 38474, 29127, 27907, 16848, 29392, 162129, 28113, 62921, 27155, 24040, 12181, 122257, 27716, 6078, 163946, 35264, 158563, 8902, 39791, 39991, 36474, 36083, 26359, 21032, 160684, 15414, 35727, 7637, 39190, 33955, 162254, 16582, 32348, 20645, 61711, 64857, 22410, 33133, 45458, 26385, 4462, 11012, 21601, 151630, 22134, 35714, 133885, 13971, 162892, 32356, 20898, 40108, 36288, 33810, 37187, 25937, 28806, 177287, 21004, 315318, 26349, 36911, 35982, 24782, 36600, 24302, 35267, 43858, 39344, 285085, 63005, 23358, 5608, 36028, 27670, 174134, 38821, 22387, 41768, 146616, 20185, 30137, 186159, 26340, 8123, 271357, 33445, 39774, 20649, 33723, 175008, 19149, 2593, 38782, 41916, 37664, 140982, 29837, 41622, 43106, 35255, 45388, 17653, 162401, 34241]",large_cap
31,CHEMICALS AND ALLIED PRODUCTS - Small Cap,2800,144,30431109.8675,"[32193, 41766, 34928, 35416, 178118, 183486, 106261, 39411, 31418, 163595, 50724, 34504, 31628, 126010, 43758, 39051, 37036, 36599, 38025, 178291, 12717, 37825, 34566, 178097, 160997, 41176, 31102, 33114, 24598, 26922, 25999, 34181, 20040, 27354, 19209, 170450, 43842, 13484, 34164, 43574, 332115, 185908, 33631, 289153, 39755, 36786, 21282, 41238, 41309, 38139, 21967, 38173, 39633, 31942, 101204, 287111, 37310, 38453, 18172, 322154, 38791, 27939, 10761, 26669, 35102, 186974, 45390, 18173, 39853, 62525, 39104, 36985, 37807, 237269, 32674, 37541, 14063, 27699, 38883, 22138, 37938, 65944, 50682, 37352, 21901, 26798, 37063, 39342, 38511, 2990, 21873, 39926, 39912, 39089, 43386, 179163, 183968, 38422, 24966, 50874, 45157, 166491, 281772, 36704, 38840, 23334, 171187, 36140, 34469, 37640, 165266, 32395, 32233, 16947, 39881, 38783, 39863, 33240, 36394, 39879, 33184, 20720, 170430, 35814, 26356, 34107, 32347, 33597, 220301, 37110, 32018, 35014, 38469, 32731, 19549, 38400, 34621, 25935, 3691, 65937, 39801, 43442, 31656, 19138]",small_cap
35,COMMUNICATIONS,4800,64,14278745957.739,"[9899, 2136, 32382, 3226, 17874, 126136, 3980, 164296, 38598, 2884, 34636, 179202, 30662, 175523, 13714, 183640, 36309, 64088, 2408, 135484, 149177, 2137, 160549, 147204, 30024, 9215, 10411, 4988, 12485, 23225, 170384, 28555, 21227, 51314, 50707, 62396, 9664, 178518, 60800, 14369, 24844, 20961, 20315, 39676, 24724, 244641, 187406, 3105, 31466, 221616, 24508, 14535, 2411, 264412, 62549, 24708, 24200, 34070, 33382, 32367, 34378, 111974, 39804, 123435]",all
36,COMMUNICATIONS - Large Cap,4800,12,13047972475.81,"[9899, 2136, 32382, 3226, 17874, 126136, 3980, 164296, 38598, 2884, 34636, 179202]",large_cap
37,COMMUNICATIONS - Small Cap,4800,12,3720908.699,"[2411, 264412, 62549, 24708, 24200, 34070, 33382, 32367, 34378, 111974, 39804, 123435]",small_cap
38,CONSTRUCTION SPECIAL TRADE CONTRACTORS,1700,18,2568720472.1664,"[66446, 6223, 64997, 325576, 5559, 19516, 23245, 66371, 50838, 20517, 45049, 45663, 45545, 50431, 43573, 32098, 45752, 39748]",all
41,DEPOSITORY INSTITUTIONS,6000,349,17163052700.5924,"[179534, 2968, 7647, 8007, 4674, 4723, 39997, 5786, 2019, 4690, 8245, 11856, 9783, 4640, 4737, 15706, 14219, 65228, 21825, 4699, 7982, 158587, 11861, 175263, 15633, 18049, 3238, 3231, 115876, 64536, 15576, 24232, 2002, 17150, 65106, 34309, 17095, 64547, 139025, 11687, 15582, 10916, 63781, 36633, 163920, 16832, 51708, 15580, 3643, 29282, 15581, 61452, 118042, 13041, 162560, 19713, 185824, 150306, 136265, 11842, 164633, 30222, 17248, 14172, 74571, 27665, 17875, 2005, 17151, 19355, 16821, 327115, 16967, 22086, 184167, 65796, 24447, 29101, 25173, 260751, 16549, 16889, 64794, 17132, 170396, 17184, 17145, 23500, 20019, 16790, 27871, 28022, 16981, 33695, 4685, 150279, 28866, 61487, 150803, 18948, 285333, 21815, 30932, 117141, 17195, 19094, 41459, 20677, 66235, 16781, 18241, 19318, 120318, 18329, 176766, 16432, 190963, 32519, 31606, 16845, 22717, 18732, 63232, 266160, 26270, 19570, 16777, 28155, 14253, 19150, 27604, 109183, 33459, 28967, 25751, 111721, 17724, 33625, 20299, 162307, 62979, 18533, 32619, 31368, 16689, 63135, 33999, 16890, 119414, 31585, 61585, 16705, 33911, 15199, 43210, 164724, 17245, 29994, 17106, 109599, 187236, 28278, 19262, 65548, 19873, 27235, 66285, 121713, 38634, 30055, 111819, 175083, 35078, 65689, 29855, 143153, 19428, 26347, 17240, 165284, 18434, 170419, 19817, 17602, 37688, 33056, 8060, 26179, 18276, 23450, 66453, 16668, 17534, 66288, 161853, 35759, 35101, 107817, 21593, 39902, 144122, 27111, 176828, 66394, 178834, 105538, 20628, 33131, 45796, 62243, 31895, 20109, 31764, 63725, 18619, 162293, 15620, 34189, 112721, 26071, 63224, 33704, 125580, 34132, 175607, 105616, 51244, 160423, 139705, 25327, 17173, 66286, 66504, 18037, 12035, 187596, 180183, 147312, 180958, 110243, 62315, 153449, 66155, 112295, 164365, 41241, 157498, 153876, 15645, 107644, 18358, 45446, 186890, 146607, 18385, 116675, 165630, 111940, 133764, 38764, 18195, 160753, 162759, 115960, 25481, 15575, 30647, 166197, 34405, 177009, 112572, 39322, 32253, 151544, 74397, 153616, 196256, 164395, 43009, 18094, 41201, 161023, 32665, 21521, 39263, 16271, 181820, 63058, 32539, 29061, 65958, 61796, 31358, 136844, 18695, 19366, 66355, 117026, 39376, 175121, 31718, 34938, 62139, 27345, 111179, 120038, 18182, 174597, 17877, 32444, 66210, 106373, 16989, 117018, 39641, 64228, 264309, 32350, 39622, 65162, 111537, 170868, 165762, 18264, 32208, 15509, 14115, 214881, 29903, 16348, 66158, 15362, 30857, 161942, 34939, 61815, 18275, 116209, 22975, 29946, 31839, 112542, 38755, 179234, 18974, 63178, 29917, 31218, 64628]",all
42,DEPOSITORY INSTITUTIONS - Large Cap,6000,69,15954567420.73,"[179534, 2968, 7647, 8007, 4674, 4723, 39997, 5786, 2019, 4690, 8245, 11856, 9783, 4640, 4737, 15706, 14219, 65228, 21825, 4699, 7982, 158587, 11861, 175263, 15633, 18049, 3238, 3231, 115876, 64536, 15576, 24232, 2002, 17150, 65106, 34309, 17095, 64547, 139025, 11687, 15582, 10916, 63781, 36633, 163920, 16832, 51708, 15580, 3643, 29282, 15581, 61452, 118042, 13041, 162560, 19713, 185824, 150306, 136265, 11842, 164633, 30222, 17248, 14172, 74571, 27665, 17875, 2005, 17151]",large_cap
43,DEPOSITORY INSTITUTIONS - Small Cap,6000,69,13685730.075,"[41201, 161023, 32665, 21521, 39263, 16271, 181820, 63058, 32539, 29061, 65958, 61796, 31358, 136844, 18695, 19366, 66355, 117026, 39376, 175121, 31718, 34938, 62139, 27345, 111179, 120038, 18182, 174597, 17877, 32444, 66210, 106373, 16989, 117018, 39641, 64228, 264309, 32350, 39622, 65162, 111537, 170868, 165762, 18264, 32208, 15509, 14115, 214881, 29903, 16348, 66158, 15362, 30857, 161942, 34939, 61815, 18275, 116209, 22975, 29946, 31839, 112542, 38755, 179234, 18974, 63178, 29917, 31218, 64628]",small_cap
